ID,Hospital,Doctors,Pop,TrAcc,Popd,Pop65r,Emp3r,IncP
1661,1 ,10 ,21855 ,105 ,0.8652 ,0.1569 ,0.7900,1.0569
1662,1 ,8 ,11525 ,34 ,0.1559 ,0.2542 ,0.6424,1.0495
1663,0 ,2 ,7005 ,8 ,0.1654 ,0.2387 ,0.6186,0.9713
1664,1 ,5 ,8936 ,35 ,0.0813 ,0.2559 ,0.7364,1.1399
1665,2 ,9 ,9023 ,15 ,0.1165 ,0.2678 ,0.8111,0.9498
1667,1 ,5 ,2672 ,7 ,0.0467 ,0.2594 ,0.7675,1.1695
1668,0 ,5 ,10397 ,35 ,0.1344 ,0.2724 ,0.4677,0.9363
1691,1 ,10 ,16460 ,29 ,0.1247 ,0.1908 ,0.6793,1.3914
1692,2 ,29 ,23792 ,57 ,0.3473 ,0.1683 ,0.8019,1.2249
1693,1 ,4 ,6063 ,12 ,0.0971 ,0.2152 ,0.5348,1.3106
1694,1 ,3 ,6540 ,15 ,0.1644 ,0.1954 ,0.5505,1.2807
2201,19 ,612 ,311508 ,1595 ,3.7781 ,0.2037 ,0.8507,1.1363
2202,15 ,746 ,189043 ,1099 ,3.6104 ,0.2285 ,0.8288,1.0016
2203,17 ,501 ,244700 ,1420 ,8.0185 ,0.1958 ,0.7810,1.1496
2204,3 ,62 ,38455 ,182 ,1.7724 ,0.2278 ,0.7322,0.8034
2205,5 ,109 ,62181 ,277 ,1.5369 ,0.2501 ,0.7669,0.8528
2206,3 ,103 ,68359 ,474 ,0.9927 ,0.2134 ,0.7351,0.9983
2207,3 ,51 ,42425 ,218 ,3.5363 ,0.1813 ,0.8092,1.2610
2208,4 ,89 ,64052 ,197 ,0.7415 ,0.2228 ,0.7897,1.0671
2209,2 ,20 ,40091 ,123 ,1.5793 ,0.2753 ,0.7433,0.6378
2210,3 ,30 ,35336 ,126 ,1.0218 ,0.2578 ,0.5945,0.7460
2301,1 ,10 ,13483 ,49 ,0.6215 ,0.2669 ,0.7105,0.8553
2303,0 ,3 ,3816 ,3 ,0.3046 ,0.3713 ,0.7420,0.6368
2304,0 ,1 ,3405 ,9 ,0.4225 ,0.2969 ,0.5733,0.7642
2307,1 ,8 ,8215 ,6 ,0.3573 ,0.3438 ,0.6835,0.7665
2321,1 ,11 ,12662 ,43 ,0.3692 ,0.3144 ,0.7620,0.6781
2323,0 ,4 ,10910 ,21 ,0.2232 ,0.3407 ,0.6652,0.6252
2343,0 ,0 ,1597 ,3 ,0.0648 ,0.3582 ,0.7415,0.5441
2361,2 ,22 ,16495 ,82 ,4.4270 ,0.2567 ,0.7018,0.7722
2362,1 ,10 ,11921 ,28 ,0.7296 ,0.3014 ,0.7705,0.7327
2367,0 ,3 ,8541 ,46 ,3.8283 ,0.2632 ,0.4860,0.8202
2381,1 ,10 ,16222 ,50 ,3.8799 ,0.2595 ,0.7436,0.6828
2384,1 ,12 ,15218 ,53 ,3.2812 ,0.2684 ,0.6427,0.6302
2387,0 ,6 ,14184 ,25 ,0.6557 ,0.2871 ,0.5970,0.6222
2401,1 ,21 ,15218 ,65 ,1.8647 ,0.2528 ,0.7510,0.9476
2402,1 ,18 ,18471 ,79 ,0.5477 ,0.2649 ,0.7033,0.8146
2405,1 ,6 ,10430 ,57 ,1.2408 ,0.2636 ,0.5995,0.8767
2406,0 ,2 ,5097 ,12 ,0.4028 ,0.2837 ,0.4541,0.8181
2408,1 ,7 ,20016 ,83 ,0.6127 ,0.2633 ,0.6919,0.7896
2411,0 ,5 ,11401 ,36 ,0.4506 ,0.1865 ,0.4556,1.2165
2412,2 ,12 ,24172 ,113 ,3.3628 ,0.1850 ,0.6394,1.0227
2423,1 ,5 ,6212 ,8 ,1.1932 ,0.2354 ,0.6937,0.8464
2424,0 ,3 ,8042 ,11 ,0.2732 ,0.2560 ,0.6665,0.7647
2425,0 ,1 ,2603 ,4 ,0.3740 ,0.3112 ,0.6719,0.7172
2426,0 ,1 ,2843 ,4 ,0.2105 ,0.3071 ,0.5725,0.6075
2441,1 ,11 ,12261 ,31 ,0.8090 ,0.2989 ,0.6816,0.7758
2442,1 ,16 ,20138 ,56 ,1.1325 ,0.2761 ,0.5907,0.8511
2443,1 ,8 ,6883 ,8 ,0.2843 ,0.3263 ,0.6090,0.7542
2445,2 ,18 ,21552 ,93 ,1.4067 ,0.2797 ,0.6783,0.7775
2446,0 ,2 ,15356 ,53 ,1.6359 ,0.1800 ,0.6061,0.8713
2450,0 ,2 ,3143 ,4 ,0.2084 ,0.3656 ,0.7421,0.6258
3201,26 ,1192 ,300746 ,1612 ,3.3926 ,0.1868 ,0.8736,1.3514
3202,3 ,101 ,60250 ,169 ,0.8646 ,0.2649 ,0.7196,0.9103
3203,1 ,81 ,43331 ,144 ,1.3404 ,0.2704 ,0.6634,0.9239
3205,8 ,151 ,105028 ,470 ,1.1563 ,0.2578 ,0.6896,1.0274
3206,2 ,137 ,94321 ,403 ,2.1557 ,0.2043 ,0.5952,1.1995
3207,2 ,70 ,39141 ,88 ,0.6281 ,0.2373 ,0.6773,0.9160
3208,1 ,27 ,31402 ,72 ,0.3803 ,0.3224 ,0.6119,0.7862
3209,8 ,203 ,125818 ,410 ,1.1104 ,0.2764 ,0.6493,0.9502
3210,1 ,19 ,24709 ,67 ,1.0637 ,0.3047 ,0.6658,0.8279
3211,4 ,68 ,42987 ,114 ,0.9739 ,0.3120 ,0.6653,0.9703
3213,1 ,49 ,31477 ,71 ,0.7489 ,0.2694 ,0.6672,0.9106
3214,2 ,22 ,31079 ,101 ,0.3604 ,0.2916 ,0.6016,0.8357
3215,9 ,208 ,130171 ,584 ,1.3104 ,0.2685 ,0.6925,1.0153
3301,3 ,23 ,19055 ,68 ,0.3129 ,0.2578 ,0.6619,0.8959
3302,1 ,8 ,8021 ,14 ,0.1844 ,0.3524 ,0.7078,0.6864
3303,1 ,16 ,16254 ,50 ,0.4508 ,0.2866 ,0.6174,0.8484
3305,2 ,38 ,53560 ,218 ,2.9377 ,0.1370 ,0.7459,1.1644
3321,0 ,21 ,33692 ,130 ,1.4095 ,0.2192 ,0.6460,1.0433
3322,2 ,30 ,27085 ,131 ,4.0257 ,0.1724 ,0.8158,1.1539
3366,1 ,8 ,7375 ,19 ,0.1248 ,0.3934 ,0.6992,0.7707
3381,0 ,16 ,16396 ,80 ,0.9121 ,0.2490 ,0.3664,1.0334
3402,0 ,3 ,8819 ,43 ,1.3912 ,0.2819 ,0.6747,0.8731
3422,1 ,7 ,9904 ,15 ,0.8042 ,0.3275 ,0.4413,0.7364
3441,1 ,6 ,6848 ,12 ,0.2045 ,0.3646 ,0.5194,0.7031
3461,1 ,8 ,16516 ,39 ,0.8234 ,0.2849 ,0.6271,0.8299
3482,1 ,9 ,20142 ,56 ,0.7646 ,0.2806 ,0.6090,0.7645
3483,1 ,7 ,11914 ,13 ,0.1200 ,0.3428 ,0.6839,0.6643
3484,0 ,1 ,4241 ,3 ,0.2715 ,0.3004 ,0.5886,0.6307
3485,0 ,1 ,3358 ,3 ,0.4818 ,0.2787 ,0.6092,0.6680
3487,0 ,1 ,3338 ,24 ,0.0593 ,0.4080 ,0.6544,0.6660
3501,1 ,10 ,10997 ,21 ,0.4475 ,0.3062 ,0.5719,0.7144
3503,0 ,1 ,5019 ,4 ,0.6209 ,0.2678 ,0.6745,0.7675
3506,1 ,2 ,6974 ,13 ,0.5203 ,0.3185 ,0.5299,0.6901
3507,1 ,6 ,19524 ,25 ,0.6439 ,0.2666 ,0.6651,0.8252
3524,1 ,19 ,15549 ,20 ,0.5181 ,0.3201 ,0.6548,0.7717
4100,53 ,3165 ,1025098 ,6477 ,13.0829 ,0.1578 ,0.8745,1.5365
4202,7 ,262 ,167324 ,829 ,3.0107 ,0.2417 ,0.6991,1.0474
4203,3 ,150 ,59357 ,184 ,33.2346 ,0.2349 ,0.7383,1.1607
4205,3 ,91 ,66423 ,260 ,2.9304 ,0.2662 ,0.7198,0.9734
4206,2 ,87 ,39492 ,159 ,1.3786 ,0.2587 ,0.6082,1.0336
4207,2 ,119 ,68662 ,591 ,6.8621 ,0.1730 ,0.7603,1.3423
4208,3 ,26 ,33199 ,150 ,2.2496 ,0.2471 ,0.5138,1.0864
4209,1 ,62 ,62745 ,294 ,31.9313 ,0.1530 ,0.7542,1.3358
4211,3 ,65 ,43921 ,269 ,7.2334 ,0.1754 ,0.7241,1.2711
4212,6 ,94 ,89316 ,313 ,1.6652 ,0.2752 ,0.6571,0.8704
4213,5 ,102 ,80248 ,307 ,0.9970 ,0.3091 ,0.6379,0.8909
4214,2 ,41 ,43235 ,228 ,4.2446 ,0.2047 ,0.7553,1.0446
4215,12 ,254 ,138491 ,704 ,1.7382 ,0.2296 ,0.7187,1.0432
4301,1 ,8 ,13318 ,65 ,0.8713 ,0.2678 ,0.6607,0.9214
4302,0 ,2 ,1871 ,4 ,0.0711 ,0.4233 ,0.6592,0.6729
4321,1 ,72 ,23335 ,172 ,9.3303 ,0.1986 ,0.8258,1.2355
4322,0 ,9 ,12740 ,63 ,1.6248 ,0.2472 ,0.4406,0.9757
4323,1 ,30 ,39809 ,185 ,7.3748 ,0.1863 ,0.5862,1.1680
4324,2 ,15 ,10583 ,41 ,0.3908 ,0.2759 ,0.6192,0.8065
4341,1 ,10 ,16792 ,43 ,0.6143 ,0.3188 ,0.5056,0.9158
4361,0 ,27 ,35132 ,158 ,4.7988 ,0.2057 ,0.6277,1.1318
4362,1 ,20 ,17713 ,70 ,2.7471 ,0.2776 ,0.5751,0.9761
4401,1 ,9 ,16193 ,77 ,2.9965 ,0.2668 ,0.8676,1.0514
4404,0 ,7 ,21068 ,28 ,15.8764 ,0.1826 ,0.7504,1.2106
4406,1 ,26 ,32257 ,191 ,7.2083 ,0.1381 ,0.7191,1.4115
4421,1 ,28 ,24509 ,120 ,1.0864 ,0.1973 ,0.6116,1.1163
4422,0 ,2 ,9424 ,50 ,1.1490 ,0.2704 ,0.5737,0.9402
4423,1 ,37 ,41593 ,174 ,8.4659 ,0.1136 ,0.8258,1.4533
4424,0 ,2 ,5607 ,65 ,0.9316 ,0.2297 ,0.4726,0.9822
4444,1 ,7 ,7856 ,22 ,0.7192 ,0.2602 ,0.5992,0.8662
4445,0 ,17 ,27212 ,83 ,0.5905 ,0.2816 ,0.5576,0.8814
4501,2 ,24 ,18410 ,77 ,2.2429 ,0.2626 ,0.6386,0.8775
4505,3 ,19 ,26329 ,120 ,3.5077 ,0.2613 ,0.6928,1.0196
4581,1 ,7 ,10723 ,21 ,1.6299 ,0.3000 ,0.5990,1.0375
4603,1 ,3 ,11588 ,51 ,1.0860 ,0.2801 ,0.5868,0.8000
4606,1 ,16 ,18645 ,34 ,1.1387 ,0.2761 ,0.6640,0.7767
5201,19 ,1103 ,333109 ,1697 ,3.6780 ,0.2113 ,0.8350,1.2731
5202,6 ,130 ,62858 ,279 ,1.4730 ,0.2927 ,0.7161,0.9600
5203,3 ,186 ,103652 ,336 ,1.4944 ,0.2941 ,0.6772,0.9015
5204,5 ,146 ,82504 ,282 ,0.9030 ,0.2887 ,0.6975,0.9769
5206,1 ,25 ,35637 ,92 ,1.4799 ,0.3042 ,0.7396,0.8035
5207,3 ,70 ,55290 ,142 ,0.6992 ,0.2983 ,0.6235,0.8169
5209,4 ,41 ,36753 ,92 ,0.5196 ,0.3065 ,0.7131,0.8456
5210,5 ,194 ,89555 ,404 ,0.7407 ,0.2702 ,0.6535,1.0132
5211,2 ,32 ,35814 ,124 ,3.6560 ,0.2243 ,0.6476,0.9282
5212,5 ,159 ,93352 ,345 ,1.0771 ,0.2961 ,0.6891,0.9521
5213,3 ,51 ,40049 ,52 ,0.3475 ,0.3286 ,0.6649,0.8516
5214,1 ,23 ,28972 ,85 ,1.2041 ,0.2660 ,0.4573,1.1413
5215,2 ,37 ,31868 ,106 ,0.2914 ,0.3087 ,0.6827,0.7963
5303,0 ,2 ,6824 ,15 ,0.3834 ,0.3296 ,0.5045,0.8381
5327,0 ,1 ,3107 ,2 ,0.1210 ,0.4039 ,0.6225,0.7470
5346,0 ,1 ,4348 ,4 ,0.1542 ,0.3551 ,0.6268,0.6525
5348,1 ,9 ,20438 ,60 ,0.8238 ,0.3054 ,0.5952,0.7567
5349,0 ,1 ,9012 ,25 ,0.3848 ,0.3270 ,0.5569,0.7740
5361,0 ,6 ,11678 ,42 ,0.5433 ,0.3322 ,0.6356,0.8389
5363,1 ,29 ,7093 ,22 ,4.1724 ,0.2866 ,0.7256,0.9103
5366,0 ,2 ,5847 ,18 ,1.2194 ,0.2889 ,0.4717,0.8061
5368,0 ,1 ,3256 ,8 ,0.1915 ,0.2082 ,0.7094,1.6864
5434,0 ,11 ,23038 ,78 ,1.3729 ,0.2965 ,0.5451,0.8118
