ID,X,Y,Z,SPM07
11226510,139.7377778,35.82472222,5,0.07
11227510,139.5883333,35.78888889,35,0.061
11229010,139.6175,35.77777778,35,0.064
11229510,139.6161111,35.7975,20,0.071
11230070,139.5555556,35.77944444,40,0.071
11232010,139.6613889,36.06472222,10,0.076
11232510,139.6655556,36.07527778,10,0.071
11234010,139.8391667,35.82277778,2,0.066
11235010,139.5491667,35.85666667,10,0.057
11237020,139.8813889,35.84444444,5,0.063
11238010,139.6536111,35.98944444,15,0.063
11239010,139.4011111,35.97055556,25,0.068
11240010,139.7316667,36.07472222,8,0.069
11241510,139.3997222,35.93111111,38,0.063
11326010,139.3097222,35.94222222,80,0.047
11329010,139.3433333,35.89333333,75,0.058
11343010,139.2602778,36.06083333,90,0.057
11344010,139.1894444,36.005,900,0.049
11382010,139.1338889,36.19,98,0.059
11403010,139.3811111,36.22333333,28,0.069
11408010,139.1861111,36.11527778,100,0.052
11421010,139.5602778,36.08416667,13,0.065
12105010,140.1730556,35.55444444,23,0.056
12201010,140.0983333,35.69388889,29,0.066
12201020,140.0675,35.64944444,13,0.071
12201030,140.1175,35.63694444,28,0.078
12201040,140.1430556,35.66472222,27,0.072
12201050,140.0977778,35.65388889,21,0.066
12201060,140.1586111,35.62083333,26,0.057
12201070,140.1816667,35.59722222,34,0.059
12201080,140.1547222,35.56194444,26,0.064
12201090,140.1836111,35.62861111,33,0.069
12201120,140.1213889,35.59638889,3,0.067
12201130,140.1272222,35.59611111,4,0.062
12201140,140.1530556,35.58777778,30,0.065
12201150,140.1380556,35.57638889,12,0.059
12201160,140.1288889,35.58388889,3,0.063
12201170,140.1255556,35.5525,3,0.066
12201180,140.1308333,35.57222222,3,0.062
12201200,140.1077778,35.6075,3,0.064
12201250,140.1377778,35.61027778,5,0.068
12201260,140.2608333,35.53194444,72,0.058
12201300,140.1177778,35.63833333,22,0.075
12201320,140.0694444,35.63388889,4,0.063
12201520,140.12,35.60944444,3,0.074
12201540,140.0980556,35.65805556,19,0.062
12201550,140.0669444,35.64611111,3,0.065
12201560,140.0280556,35.66055556,4,0.078
12201570,140.0663889,35.645,3,0.067
12202020,140.7186111,35.79416667,11,0.045
12202080,140.8216667,35.73111111,6,0.074
12203020,139.9236111,35.69305556,12.5,0.068
12203030,139.9102778,35.72638889,2,0.074
12203040,139.9569444,35.69666667,4,0.081
12203080,139.9544444,35.75,24.2,0.071
12203110,139.9275,35.72583333,4.3,0.063
12203510,139.9058333,35.73166667,4.9,0.085
12203520,139.9163889,35.68638889,0.6,0.059
12203530,139.9525,35.72583333,19.1,0.071
12204040,139.9958333,35.745,26,0.056
12204050,140.0091667,35.72611111,23,0.09
12204060,140.0422222,35.72888889,26,0.066
12204070,140.0238889,35.69527778,18,0.067
12204100,140.0611111,35.75777778,27,0.064
12204110,139.9591667,35.71388889,7,0.068
12204140,139.9938889,35.67611111,3,0.062
12204150,139.9772222,35.69694444,3,0.074
12204520,139.9766667,35.69972222,3,0.059
12204530,139.9794444,35.68833333,2,0.068
12205030,139.8802778,35.02166667,10,0.058
12206010,139.925,35.38472222,1,0.067
12206030,139.8997222,35.42111111,2,0.074
12206070,139.9508333,35.38055556,37,0.067
12206080,139.9030556,35.34194444,31,0.062
12206140,140.0675,35.36833333,45,0.061
12206520,139.9380556,35.37388889,9,0.068
12206530,139.9633333,35.40722222,8,0.062
12207010,139.9027778,35.7875,16,0.045
12207020,139.9625,35.79138889,25,0.057
12207030,139.9283333,35.82277778,25,0.058
12207520,139.9125,35.8,7,0.062
12208010,139.8658333,35.94777778,13,0.077
12208510,139.8763889,35.95416667,17.3,0.076
12209010,140.5527778,35.88722222,19,0.076
