"ID","X","Y","Z","SPM07"
"169",12219110,31450.7478972,-55693.7380009,68,0.054
"170",12219120,28795.3149718,-52805.8922874,30,0.066
"171",12219140,19870.3915027,-61181.4335346,40,0.048
"172",12219180,27510.8395923,-61130.4332896,20,0.058
"173",12219190,21287.0581743,-52487.9316136,2,0.064
"174",12219200,25549.6680794,-54294.9576078,20,0.053
"175",12219380,28458.8984768,-73854.5657832,45,0.07
"176",12219390,28181.3573999,-65874.0735519,28,0.055
"177",12219510,22826.4298198,-53531.9032377,3,0.066
"178",12220010,6322.20247607,-15869.2628614,18,0.071
"179",12220020,6946.96116966,-12756.152299,17,0.074
"180",12221020,22468.1673572,-31375.2544967,26,0.067
"181",12221030,25748.7744671,-27329.2049874,20,0.072
"182",12221510,25333.4120126,-31429.1773417,25,0.077
"183",12222010,21950.667394,-15258.7042336,11,0.078
"184",12224040,16671.7010489,-22851.5076695,25,0.082
"185",12224510,15769.7882037,-23962.6049828,15,0.07
"186",12225010,6136.49420283,-74328.8565126,8,0.06
"187",12225030,4645.78255087,-72819.7906629,25,0.048
"188",12225070,8589.04327237,-77470.0217916,18,0.045
"189",12225080,2954.13141449,-72882.1350656,2,0.064
"190",12225090,20002.2261566,-75109.9440686,34,0.047
"191",12225120,12352.645119,-77157.4983709,26,0.049
"192",12226010,1818.39239766,-75193.5949718,7,0.064
"193",12226020,-808.276514104,-76272.279645,5,0.052
"194",12226030,2527.0157706,-80432.0197149,12,0.06
"195",12226040,4347.23948308,-82033.7122677,18,0.043
"196",12226050,4020.41076081,-85947.3678083,41,0.063
"197",12226080,-1062.72639449,-92203.5932784,8,0.029
"198",12226100,2247.48143241,-74145.7734718,4,0.06
"199",12227510,7017.24133552,-38211.5244323,2,0.065
"200",12228010,30629.174375,-36620.7027923,25,0.078
"201",12230010,43326.5841542,-36167.2807798,40,0.065
"202",12301020,6564.24303533,-37842.0649359,1,0.052
"203",12303010,-1751.95466009,5270.22132725,10,0.096
"204",12305510,15181.1762345,-17522.6650256,20,0.056
"205",12326010,19055.7031472,-22261.1554075,18,0.063
"206",12327010,27016.0211206,-22764.3532161,25,0.073
"207",12329010,37285.7215387,-16902.3214147,12,0.072
"208",12343010,53064.6163641,-16205.2671012,40,0.068
"209",12344020,69502.7420394,-16615.2039145,3,0.078
"210",12345020,69804.4690217,-23054.3607223,45,0.062
"211",12408010,58955.7219156,-38080.6553985,6,0.061
"212",12409010,51570.9043182,-31161.4671406,41,0.068
"213",12421020,49687.2452487,-72190.8027291,6,0.064
"214",12463010,177.249996953,-98674.6892233,5,0.063
